run_id,window_index,window_start,window_end,ticker,source_query,status,article_id,published_at,title,source,body_extraction_status,market_signal,event_type,expectation_surprise,final_signal_score,signal_strength,return_20d,excess_return_20d,raw_thesis_match,excess_thesis_match,is_duplicate,data_quality_score,data_quality_notes,what_went_wrong
20260624T144048Z,1,2025-11-21,2025-11-28,RXRX,Reuters,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RXRX,CNBC,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RXRX,Yahoo Finance,saved,853,2025-11-25T08:00:00+00:00,"A Look at Recursion Pharmaceuticals’s Valuation Following New CEO, Narrowed Losses, and Milestone Partnership Payment - Yahoo Finance",Yahoo Finance,google_news_title_only,bullish,management_change,neutral,7.632,7.632,-3.6281,-5.4922,False,False,0,75,title-only body | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation,raw 20d return contradicted signal thesis | excess 20d return contradicted signal thesis
20260624T144048Z,1,2025-11-21,2025-11-28,RXRX,GlobeNewswire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RXRX,Business Wire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RXRX,PR Newswire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RXRX,Accesswire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RXRX,Seeking Alpha,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144048Z,1,2025-11-21,2025-11-28,RKLB,Reuters,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RKLB,CNBC,skipped,,,Cramer's Lightning Round: Buy Spotify - CNBC,Historical CNBC,,,,,,,,,,,0,10,missing body | missing published_at | market chatter or roundup article | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because ticker/company was not detected
20260624T144048Z,1,2025-11-21,2025-11-28,RKLB,Yahoo Finance,saved,854,2025-11-22T08:00:00+00:00,Rocket Lab Just Had Its First Real Crash—The Rebound Could Be Bigger - Yahoo Finance,Yahoo Finance,google_news_title_only,neutral,other,neutral,0.0,0.0,81.1737,78.596,,,0,65,title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation,signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
20260624T144048Z,1,2025-11-21,2025-11-28,RKLB,GlobeNewswire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RKLB,Business Wire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RKLB,PR Newswire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RKLB,Accesswire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,RKLB,Seeking Alpha,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144048Z,1,2025-11-21,2025-11-28,ASTS,Reuters,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,ASTS,CNBC,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,ASTS,Yahoo Finance,saved,855,2025-11-21T08:00:00+00:00,"AST SpaceMobile Announces BlueBird 6 Launch Date, the Largest Commercial Communications Array Ever Deployed in Low Earth Orbit - Yahoo Finance",Yahoo Finance,google_news_title_only,neutral,other,neutral,0.0,0.0,55.7636,52.584,,,0,65,title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation,signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
20260624T144048Z,1,2025-11-21,2025-11-28,ASTS,GlobeNewswire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,ASTS,Business Wire,saved,856,2025-11-25T08:00:00+00:00,"AST SpaceMobile Expands Manufacturing Footprint in Both Texas and Florida, Accelerates Next-Generation BlueBird Production - Business Wire",Business Wire,google_news_title_only,neutral,other,neutral,0.0,0.0,29.5929,27.7288,,,0,65,title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation,signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
20260624T144048Z,1,2025-11-21,2025-11-28,ASTS,PR Newswire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,ASTS,Accesswire,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,ASTS,Seeking Alpha,saved,857,2025-11-21T08:00:00+00:00,AST SpaceMobile's next-gen BlueBird 6 satellite to launch on December 15 (ASTS:NASDAQ) - Seeking Alpha,Seeking Alpha,google_news_title_only,neutral,other,neutral,0.0,0.0,55.7636,52.584,,,0,65,title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation,signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
20260624T144048Z,1,2025-11-21,2025-11-28,SOUN,Reuters,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T144048Z,1,2025-11-21,2025-11-28,SOUN,CNBC,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
